Класс,Возраст,Пол,Выживший
3rd,1882.0,female,1
3rd,1882.0,female,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,female,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,female,0
3rd,1882.0,male,0
3rd,1882.0,female,0
3rd,1882.0,female,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,female,0
3rd,1882.0,female,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,1
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,1
3rd,1882.0,female,0
3rd,1882.0,female,0
3rd,1882.0,male,0
3rd,1882.0,female,0
3rd,1882.0,male,0
3rd,1882.0,female,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,female,0
3rd,1882.0,male,0
3rd,1882.0,male,1
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,female,0
3rd,1882.0,female,0
3rd,1882.0,male,0
3rd,1882.0,female,1
3rd,1882.0,male,0
3rd,1882.0,female,0
3rd,1882.0,male,0
3rd,1882.0,female,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,female,0
3rd,1882.0,female,0
3rd,1882.0,male,0
3rd,1882.0,female,1
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,1
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,1
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,female,0
3rd,1882.0,female,0
3rd,1882.0,female,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,female,0
3rd,1882.0,female,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1891.0,male,0
3rd,1882.0,female,1
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,female,1
3rd,1910.5,female,0
3rd,1882.0,female,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,1
3rd,1882.0,male,0
3rd,1882.0,female,1
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,female,1
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,female,0
3rd,1882.0,female,0
3rd,1882.0,male,0
3rd,1882.0,female,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,female,1
3rd,1882.0,female,0
3rd,1882.0,male,0
3rd,1882.0,male,1
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,female,1
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,female,0
3rd,1882.0,male,1
3rd,1882.0,male,0
3rd,1882.0,female,0
3rd,1882.0,female,0
3rd,1882.0,male,1
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,1
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,1
3rd,1882.0,male,0
3rd,1882.0,female,1
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,female,1
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1887.0,male,1
3rd,1882.0,female,0
3rd,1882.0,male,0
3rd,1882.0,female,0
3rd,1882.0,male,0
3rd,1894.0,female,1
3rd,1849.0,female,1
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1894.0,female,0
3rd,1881.0,male,0
3rd,1881.0,female,0
3rd,1897.0,male,0
3rd,1884.0,male,0
3rd,1876.0,male,0
3rd,1884.0,male,0
3rd,1902.0,female,0
3rd,1876.0,male,0
3rd,1882.0,female,0
3rd,1890.0,male,1
3rd,1882.0,male,0
3rd,1883.0,male,0
3rd,1865.0,male,0
3rd,1898.0,female,0
3rd,1890.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,1
3rd,1882.0,male,0
3rd,1861.0,male,0
3rd,1894.0,male,0
3rd,1867.0,female,1
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1882.0,male,0
3rd,1884.0,male,0
3rd,1891.0,male,0
3rd,1885.0,male,0
3rd,1882.0,male,0
3rd,1876.0,male,0
3rd,1882.0,male,1
3rd,1885.0,male,0
3rd,1897.0,female,1
3rd,1882.0,male,0
3rd,1882.0,female,0
3rd,1882.0,female,0
3rd,1885.0,male,0
3rd,1886.0,male,0
3rd,1890.0,male,0
3rd,1888.0,male,0
3rd,1883.0,male,0
